🇺🇦Ukraine,🇺🇸English
артикль,article
бути,be
і,and
з/від/про,with/from/about
артикль,article
в,V
частиця перед дієсловом,particle before the verb
мати,have
щоб,that
це,it
я,I
що,What
для,for
ти/ви,you/you
він,he
з,with
на,on
робити,do
сказати,say
цей,this
вони,they
на/в,on/in
але,but
ми,we
його,its
із/з,with/from
який,which
ні,no
ні (скор.),no (short.)
з,with
вона,she
чи,or
в якості,as
що,What
йти,to go
їх,their
може,maybe
хто,who
отримувати,get
коли/якщо,when/if
би/буде,would/will be
її,its
усе,everyone
моє,my
робити,do
про,about
знати,know
буде,will be
поки,until
вгору,above
один,one
час,time
там,there
рік,year
тому що,because
думати,think
коли,When
котрий,which
їм,them
деякі,some
мій,my
люди,People
брати,take
із/зовні,from the outside
всередині,within
просто,Just
бачити,see
його,its
твій,thy
приходити,come
міг,could
зараз,now
ніж,than
як,as
інший,another
як,as
тоді,then
цього,this
наше,ours
два,two
більше,more
ці,or
бажати,wish
засіб,means
виглядає,looks
перший,first
також,also
новий,new
тому що,because
день,day
додатковий,additional
використовувати,use
ні,no
людина/чоловік,person/man
знаходити,find
тут,here
річ,thing
давати,give
багато,many
хорошо,Fine
тільки,only
ті,those
розповідати,tell
частиця,a particle
дуже,very
її,its
навіть,even
тому/назад,ago/ago
будь-який,any
хороший,good
жінка,woman
думка,opinion
нам/нас,us/us
життя,life
дитина,baby
туди,there
працювати,work
вниз,down
багато,many
після,after
має,has
кликати,call
світ,world
понад,over
школа,school
до цього часу,until now
намагатися,try
всередині,within
наприклад як,for example how
останній,last
питати,ask
потребувати,need
теж,also
відчувати,feel
це,it
коли,When
стан,state
ніколи,never
ставати,become
між,between
високий,high
справді,really
що-небудь,anything
більшість,majority
інший,another
багато,many
сім'я,family
особистий,personal
ззовні,from the outside
покидати,leave
поклав,put
старий,old
допоки,until
декілька,few
від,from
зберігати,save
студент,student
чому,Why
дозволяти,allow
великий,great
однаковий,identical
великий,great
група,group
починати,start
здаватися,seem
країна,country
допомогати,to help
спілкуватися,communicate
де,as well
повертати,return
проблема,problem
кожен,each one
починати,start
рука,hand
можливо,perhaps
американський,American
показувати,show
частина,part
про,about
проти,against
місце,place
поза межами,out of bounds
як,as
знову,again
декілька,few
випадок,case
більшість,majority
неділя,Sunday
компанія,company
де,as well
система,system
кожен,each one
правильно,right
програма,program
чути,to hear
так,So
питання,question
протягом,for
праця,work
грати,play
уряд,government
бігти,run
маленький,small
кількість,number
від/з,from/from
завжди,always
рухатися,move
схожий,similar
ніч,night
жити,live
містер,Mr
крапка,point
вірити,believe
тримати,keep
сьогодні,today
нести,carry
траплятися,occur
наступний,following
без,without
раніше,earlier
величезний,huge
всі,all
мільйон,million
повинен,should
дім,house
під,under
вода,water
кімната,room
писати,write
мати,have
місцевість,locality
національний,national
гроші,money
історія,history
молодий,young
факт,fact
місяц,a month
різний,different
багато,many
право,right
вчити,to teach
книга,book
око,the eye
